index,L,R,P_high,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
845,1.41 ,0.15 ,18.00 ,0.000989120 ,0.000988360 ,0.002438890 ,0.152912620 ,0.262092170 ,0.302845970 ,0.318927150 ,0.325453420 ,0.328128800 ,0.329229130 ,0.329682080 ,0.329868560 ,0.329945320 ,0.329976910 ,0.329989910 ,0.329995260 ,0.329997470 ,0.329998390 ,0.329998770 
476,1.56 ,0.22 ,8.00 ,0.000978440 ,0.000976870 ,0.000975280 ,0.000973720 ,0.000972150 ,0.000970590 ,0.000969000 ,0.000967400 ,0.000976330 ,0.004126670 ,0.104567690 ,0.231187610 ,0.287069570 ,0.311066850 ,0.321585290 ,0.326244860 ,0.328319050 ,0.329244770 ,0.329658700 
249,1.91 ,0.27 ,14.00 ,0.000987380 ,0.000986430 ,0.000985440 ,0.000984450 ,0.000983450 ,0.001047470 ,0.062794940 ,0.220971920 ,0.285889910 ,0.311679960 ,0.322308360 ,0.326756720 ,0.328629190 ,0.329419080 ,0.329752590 ,0.329893480 ,0.329953040 ,0.329978230 ,0.329988910 
470,1.84 ,0.13 ,5.00 ,0.000971010 ,0.000968300 ,0.000966100 ,0.000964030 ,0.000962030 ,0.000960060 ,0.000958060 ,0.000956070 ,0.000954040 ,0.000951980 ,0.000949900 ,0.000947760 ,0.000945600 ,0.000943400 ,0.000941130 ,0.000938850 ,0.000936600 ,0.000937770 ,0.001089420 
846,2.21 ,0.27 ,19.00 ,0.000990680 ,0.000989950 ,0.000989190 ,0.000988420 ,0.001717770 ,0.151188420 ,0.261934230 ,0.302884240 ,0.318973070 ,0.325482170 ,0.328143700 ,0.329235970 ,0.329684760 ,0.329869240 ,0.329945080 ,0.329976270 ,0.329989110 ,0.329994400 ,0.329996580 
280,1.52 ,0.22 ,8.00 ,0.000978240 ,0.000976670 ,0.000975070 ,0.000973500 ,0.000971930 ,0.000970350 ,0.000968750 ,0.000967240 ,0.001032230 ,0.012097780 ,0.152806980 ,0.253517610 ,0.296613610 ,0.315240070 ,0.323434050 ,0.327068810 ,0.328687450 ,0.329409900 ,0.329732900 
16,2.08 ,0.17 ,19.00 ,0.000990550 ,0.000989810 ,0.000989040 ,0.000988430 ,0.025562630 ,0.207571030 ,0.282514300 ,0.310901050 ,0.322210150 ,0.326806820 ,0.328688370 ,0.329460360 ,0.329777340 ,0.329907520 ,0.329960990 ,0.329982960 ,0.329991990 ,0.329995710 ,0.329997250 
452,1.91 ,0.23 ,6.00 ,0.000975260 ,0.000973150 ,0.000971250 ,0.000969440 ,0.000967660 ,0.000965890 ,0.000964120 ,0.000962320 ,0.000960490 ,0.000958640 ,0.000956750 ,0.000954830 ,0.000952860 ,0.000950870 ,0.000949160 ,0.000973810 ,0.002694890 ,0.038471830 ,0.177180100 
48,2.08 ,0.17 ,17.00 ,0.000989610 ,0.000988810 ,0.000987970 ,0.000987120 ,0.000992920 ,0.062949450 ,0.225799520 ,0.288787360 ,0.313211160 ,0.323082710 ,0.327137850 ,0.328813300 ,0.329506900 ,0.329794240 ,0.329913320 ,0.329962690 ,0.329983160 ,0.329991660 ,0.329995200 
606,2.34 ,0.22 ,19.00 ,0.000990820 ,0.000990090 ,0.000989330 ,0.000988570 ,0.000994160 ,0.072879420 ,0.231815670 ,0.291426380 ,0.314390160 ,0.323612610 ,0.327375590 ,0.328919520 ,0.329554210 ,0.329815280 ,0.329922690 ,0.329966910 ,0.329985120 ,0.329992620 ,0.329995720 
