,index,L,R,P_high,t1,t2,t3,t4,t5
832,749,6.67,0.35,8,0.19836814,0.19999756,0.2049503,0.21452501,0.22873345
833,551,4.02,0.21,6,0.19832108,0.20319109,0.21355208,0.22912784,0.24772372
834,723,3.25,0.37,18,0.27310948,0.29997191,0.31461859,0.32228588,0.32619456
835,590,9.59,0.19,19,0.20889593,0.23344807,0.26091991,0.28404487,0.30089302
836,985,9.21,0.41,13,0.20019122,0.20676099,0.22059867,0.24001769,0.26096106
837,441,7.26,0.43,16,0.21284932,0.23901264,0.26611195,0.28805257,0.30369051
838,711,3.82,0.17,10,0.21709156,0.243401,0.26931759,0.2900237,0.30477194
839,960,3.51,0.22,14,0.24833163,0.28018222,0.30123509,0.31396369,0.32128572
840,170,5.72,0.11,5,0.19676227,0.19630952,0.19648054,0.19770792,0.20066458
841,583,6.75,0.17,7,0.19787338,0.19818814,0.20008684,0.20471304,0.2130642
842,529,5.98,0.42,19,0.23770732,0.27153879,0.29534264,0.31027741,0.31910029
843,795,8.86,0.42,5,0.19754227,0.19685823,0.19638201,0.19605597,0.19586495
844,955,5.31,0.24,15,0.22635763,0.25779994,0.28368096,0.30177723,0.31340762
845,783,6.85,0.38,11,0.20130245,0.21088615,0.22789581,0.24902595,0.26987052
846,493,4.21,0.41,11,0.21798725,0.24509225,0.27121936,0.2917112,0.30608972
847,597,4.21,0.44,10,0.21236074,0.23575069,0.26125149,0.28312586,0.29952465
848,128,9.17,0.27,17,0.20606859,0.22619182,0.25183619,0.27559483,0.29414293
849,326,9.75,0.42,14,0.20047204,0.20807633,0.22341888,0.24398871,0.26525745
850,705,7.36,0.33,5,0.19719537,0.19655064,0.19615741,0.19602135,0.19627125
851,180,9.09,0.11,5,0.19759107,0.19690337,0.19642065,0.19608381,0.19587008
852,194,2.17,0.42,20,0.29727695,0.31481627,0.32304357,0.32684503,0.32858111
853,961,7.56,0.26,18,0.21790979,0.24793353,0.27536925,0.29573694,0.30936477
854,391,7.64,0.15,5,0.19726352,0.19660825,0.1961896,0.19598913,0.19608996
855,355,4.69,0.46,12,0.21779969,0.24517372,0.27149881,0.29204789,0.30639734
856,328,3.1,0.23,10,0.22919855,0.25956654,0.2844378,0.30195087,0.31331859
857,751,1.21,0.21,11,0.28839057,0.309225,0.31981223,0.32507052,0.32764024
858,693,5.99,0.33,7,0.19793808,0.19911803,0.20306888,0.2110757,0.22354849
859,697,2.11,0.45,5,0.20739651,0.22677665,0.25001772,0.27200672,0.2899864
860,477,8.66,0.47,12,0.19989618,0.20547735,0.21777133,0.23586699,0.25629306
861,687,4.32,0.49,9,0.20649732,0.22421274,0.24724422,0.26987078,0.28864776
862,110,9.99,0.37,13,0.19963344,0.20403734,0.2147165,0.2315317,0.25152562
863,819,9.71,0.46,18,0.20621868,0.22712544,0.25328555,0.27710091,0.29543313
864,199,8.59,0.47,6,0.1977634,0.19728485,0.19701986,0.19702641,0.19750597
865,327,8.74,0.15,15,0.20352284,0.21868263,0.24120784,0.26478029,0.28492115
866,173,6.34,0.3,14,0.21190956,0.23643871,0.26290093,0.28507746,0.3013181
867,363,8.1,0.14,9,0.19854477,0.1995643,0.20321887,0.21097214,0.22339912
868,386,3.96,0.32,13,0.23403114,0.2659048,0.29016732,0.30634132,0.316389
869,789,6.31,0.11,5,0.19692229,0.19635593,0.19618625,0.1966177,0.19807423
870,591,4.69,0.12,10,0.20796979,0.22750662,0.25164256,0.27431871,0.29247638
871,944,7.33,0.25,11,0.20042962,0.2077939,0.22227858,0.24188156,0.26261617
872,115,4.43,0.33,9,0.20570468,0.22245627,0.24492051,0.26753057,0.28663842
873,906,9.01,0.34,9,0.19849935,0.1988218,0.20068437,0.20535578,0.21395429
874,111,9.65,0.15,15,0.20158722,0.21264211,0.23187309,0.2545664,0.27573483
875,631,7.44,0.32,8,0.19824741,0.19888859,0.2015906,0.20769003,0.21805991
876,553,7.77,0.14,5,0.19729495,0.1966355,0.19620756,0.19598443,0.19603204
877,587,8.59,0.31,20,0.21737643,0.24818157,0.27602267,0.29644132,0.30995739
878,565,7.41,0.45,12,0.20170476,0.21228715,0.23048726,0.25233076,0.27321466
879,563,3.19,0.24,18,0.27414745,0.30067463,0.31504486,0.32252908,0.32632772
880,871,2.56,0.24,13,0.26236755,0.29159402,0.30905449,0.31888069,0.3242156
881,329,4.18,0.38,10,0.21268495,0.2363141,0.26187383,0.28367531,0.29995261
882,387,8.89,0.44,14,0.20166067,0.21257166,0.23146634,0.25388086,0.27495424
883,941,9.51,0.2,19,0.20925387,0.23415109,0.26169514,0.2847112,0.30139658
884,395,3.15,0.28,12,0.24264863,0.27444577,0.29677719,0.31089203,0.31931304
885,930,5.49,0.44,5,0.19670294,0.19632769,0.19672332,0.1984377,0.20223734
886,931,9.3,0.14,11,0.19903,0.20110229,0.20725481,0.21880866,0.23513416
887,912,6.56,0.43,17,0.22246319,0.25370868,0.28044328,0.29952577,0.31195308
888,958,7.45,0.17,7,0.19790837,0.19785213,0.19871293,0.2013132,0.20664752
889,380,7.81,0.35,17,0.21267122,0.23921293,0.26655766,0.28854434,0.30411808
890,741,1.92,0.15,16,0.29019397,0.31061434,0.32072061,0.32561628,0.3279511
891,774,3.07,0.15,5,0.19822531,0.2050183,0.21785518,0.23544842,0.25491419
892,392,3.43,0.21,20,0.27770192,0.30318749,0.31660544,0.32343292,0.3268278
893,801,7.27,0.41,11,0.20052027,0.20813855,0.22293604,0.24275128,0.26352618
894,703,1.37,0.2,17,0.30376607,0.3181712,0.32471316,0.32765412,0.32896546
895,775,1.53,0.47,20,0.30719033,0.31998961,0.3256383,0.32811098,0.32918609
896,356,9.74,0.29,19,0.20825249,0.23215293,0.25947169,0.28278919,0.29993824
897,396,7.13,0.36,16,0.21374091,0.24051628,0.26766944,0.28934969,0.30465232
898,753,6.12,0.38,11,0.2034353,0.21721576,0.23801527,0.26066362,0.28083204
899,165,6.65,0.44,11,0.20177219,0.21240915,0.23048688,0.25214931,0.27291476
900,790,6.54,0.41,18,0.22702027,0.25975529,0.28583126,0.30357949,0.31473469
901,196,4.42,0.47,14,0.23281529,0.26489665,0.28948476,0.30592221,0.31614722
902,49,5.55,0.35,14,0.2187067,0.24729555,0.27396161,0.29423699,0.30809633
903,335,4.1,0.14,5,0.19657965,0.19786173,0.20212345,0.21044411,0.22304985
904,759,2.33,0.33,14,0.27304745,0.29949894,0.31415668,0.32194404,0.32597081
905,965,2.71,0.32,9,0.22965968,0.25980122,0.28447024,0.30187963,0.31321467
906,332,5.98,0.36,16,0.22374486,0.25492222,0.28132932,0.3001007,0.31230147
907,347,9.61,0.16,8,0.19832434,0.19811497,0.19836629,0.19957767,0.20253512
908,123,4.3,0.13,18,0.25600441,0.2874183,0.30658814,0.31750663,0.32348074
909,621,4.63,0.35,13,0.2240954,0.25424892,0.2802289,0.29902418,0.31143151
910,796,9.97,0.3,8,0.19835194,0.19810513,0.19822547,0.19910304,0.20140745
911,799,8.11,0.27,16,0.20804355,0.23000104,0.25615725,0.27940829,0.29708612
912,778,6.53,0.44,13,0.20723085,0.22691445,0.25163798,0.27477955,0.29313154
913,747,7.68,0.25,9,0.19861588,0.20016845,0.20502575,0.21457784,0.2288761
914,337,2.36,0.15,6,0.21150262,0.2336644,0.25810004,0.27968067,0.29638533
915,333,2.88,0.26,12,0.24846179,0.27982418,0.30077081,0.31356016,0.32098603
916,779,8.7,0.39,18,0.21059698,0.23608729,0.26351904,0.28612482,0.30238546
917,366,9.48,0.17,12,0.19938494,0.20286051,0.21181442,0.22678291,0.24567181
918,913,1.75,0.15,8,0.24838979,0.2788673,0.29963434,0.31257688,0.32024632
919,986,1.43,0.16,9,0.26831635,0.29539957,0.31123819,0.32005614,0.32481928
920,91,1.95,0.21,9,0.25039846,0.28085764,0.30119563,0.31367099,0.32096356
921,309,4.22,0.4,16,0.24723821,0.2796438,0.30102042,0.31390275,0.32128684
922,121,9.89,0.4,9,0.19852047,0.19851976,0.19940561,0.20209524,0.20770397
923,99,9.38,0.28,6,0.19788457,0.19738162,0.19705812,0.1969066,0.19700861
924,771,8.58,0.48,7,0.1980177,0.19772327,0.19782139,0.19868652,0.20095442
925,163,1.38,0.17,15,0.29845737,0.31526981,0.32320141,0.32689141,0.32858965
926,791,2.27,0.15,7,0.22257162,0.25038411,0.27556582,0.29475154,0.30802431
