index,L,R,P_high,t1,t2,t3,t4,t5
98,1.71,0.34,12,0.00098516,0.00098506,0.00098496,0.00098485,0.00098474
77,2.47,0.38,17,0.0009901,0.00099003,0.00098995,0.00098988,0.0009898
140,6.54,0.37,8,0.00099395,0.00099385,0.00099376,0.00099366,0.00099356
766,9.31,0.49,18,0.00099635,0.00099629,0.00099623,0.00099617,0.00099611
615,9.74,0.4,15,0.00099673,0.00099666,0.00099659,0.00099652,0.00099646
767,4.7,0.27,12,0.00099158,0.00099149,0.0009914,0.00099131,0.00099122
584,6.31,0.38,8,0.00099358,0.00099348,0.00099338,0.00099328,0.00099318
962,1.03,0.47,16,0.00098732,0.00098724,0.00098716,0.00098709,0.00098707
43,9.42,0.18,11,0.00099685,0.00099675,0.00099666,0.00099658,0.00099652
35,2.65,0.39,18,0.0009908,0.00099073,0.00099066,0.00099059,0.00099051
311,3.91,0.34,13,0.00099058,0.00099049,0.0009904,0.00099031,0.00099022
887,2.74,0.14,10,0.00098616,0.00098604,0.00098592,0.0009858,0.00098568
864,2.83,0.44,5,0.00097947,0.00097917,0.00097889,0.00097863,0.00097838
278,1.26,0.38,10,0.00098087,0.00098075,0.00098063,0.0009805,0.00098037
360,7.88,0.14,11,0.00099555,0.00099547,0.00099539,0.00099531,0.00099524
762,3.74,0.14,13,0.0009903,0.00099021,0.00099012,0.00099003,0.00098994
148,2.28,0.48,19,0.00099076,0.00099069,0.00099062,0.00099055,0.00099047
620,4.96,0.31,15,0.00099263,0.00099256,0.00099248,0.0009924,0.00099232
285,7,0.47,14,0.0009947,0.00099462,0.00099455,0.00099448,0.0009944
957,3,0.21,11,0.00098771,0.00098761,0.0009875,0.00098739,0.00098728
608,4.84,0.42,13,0.00099204,0.00099195,0.00099187,0.00099178,0.00099169
974,8.86,0.11,14,0.00099622,0.00099614,0.00099606,0.000996,0.00099593
834,7.15,0.42,7,0.00099462,0.00099452,0.00099443,0.00099434,0.00099425
279,6.22,0.49,16,0.0009941,0.00099404,0.00099397,0.0009939,0.00099382
150,7.29,0.29,12,0.00099495,0.00099486,0.00099479,0.00099471,0.00099463
476,2.44,0.45,20,0.00099129,0.00099123,0.00099116,0.0009911,0.00099103
104,9.07,0.22,15,0.00099632,0.00099624,0.00099617,0.0009961,0.00099604
718,3.29,0.5,20,0.00099215,0.00099209,0.00099202,0.00099196,0.00099189
519,2.79,0.41,17,0.00099056,0.00099048,0.00099041,0.00099033,0.00099025
772,1.38,0.31,15,0.00098707,0.00098699,0.0009869,0.00098681,0.00098672
137,2.58,0.35,19,0.00099112,0.00099105,0.00099098,0.00099091,0.00099083
89,7.4,0.16,19,0.00099523,0.00099517,0.00099511,0.00099505,0.00099499
773,9.81,0.5,16,0.0009967,0.00099664,0.00099657,0.00099651,0.00099645
361,1.39,0.24,15,0.00098709,0.000987,0.00098692,0.00098683,0.00098674
141,7.92,0.14,9,0.00099565,0.00099556,0.00099548,0.0009954,0.00099533
677,1.1,0.24,15,0.00098662,0.00098653,0.00098644,0.00098635,0.00098626
763,5.74,0.3,13,0.00099325,0.00099317,0.00099309,0.00099301,0.00099292
146,2.46,0.15,7,0.00098118,0.000981,0.00098082,0.00098065,0.00098048
421,2.54,0.47,12,0.00098732,0.00098722,0.00098712,0.00098702,0.00098692
139,5.55,0.41,15,0.00099332,0.00099325,0.00099317,0.00099309,0.00099302
341,4.77,0.28,15,0.00099241,0.00099234,0.00099226,0.00099218,0.0009921
835,4.23,0.17,16,0.00099202,0.00099194,0.00099187,0.00099179,0.00099172
249,6.57,0.32,5,0.00099274,0.00099257,0.00099241,0.00099225,0.00099209
585,1.2,0.12,14,0.00098589,0.0009858,0.00098571,0.00098561,0.00098551
