,index,results
60,648.pickle,"2.22, 0.25, 19, 0.00099069, 0.00098996, 0.0009892 , 0.00098843, 0.00151716,       0.14590818, 0.26000628, 0.30214143, 0.31867439, 0.32536012,       0.32809354, 0.3292153 , 0.32967624, 0.32986572, 0.32994361,       0.32997566, 0.32998885, 0.32999428, 0.32999653"
61,835.pickle,"1.77, 0.14, 7, 0.00097716, 0.00097538, 0.00097367, 0.00097199, 0.00097034,       0.00096868, 0.00096701, 0.00096532, 0.0009636 , 0.00096184,       0.00096007, 0.00096163, 0.0015613 , 0.02854148, 0.1735953 ,       0.26075675, 0.29905083, 0.31602475, 0.32365408"
62,664.pickle,"2.43, 0.22, 20, 0.00099129, 0.00099059, 0.00098987, 0.00098914, 0.0010175 ,       0.10329345, 0.24462395, 0.29639455, 0.31641691, 0.32445616,       0.32772912, 0.32906805, 0.32961668, 0.32984161, 0.32993385,       0.32997168, 0.32998721, 0.32999359, 0.32999622"
63,670.pickle,"2.13, 0.19, 18, 0.00099016, 0.00098939, 0.00098859, 0.00098779, 0.00112995,       0.12100821, 0.25032758, 0.29830026, 0.31708654, 0.32469356,       0.32781228, 0.3290964 , 0.32962593, 0.32984438, 0.32993453,       0.32997174, 0.32998711, 0.32999346, 0.3299961 "
64,462.pickle,"2.42, 0.15, 17, 0.00099004, 0.00098925, 0.00098843, 0.0009876 , 0.00098677,       0.00098807, 0.03534865, 0.21046887, 0.28291572, 0.31083447,       0.32209587, 0.32672393, 0.32863877, 0.32943293, 0.3297626 ,       0.32989952, 0.32995641, 0.32998006, 0.32998991"
65,422.pickle,"2.4, 0.14, 20, 0.00099126, 0.00099056, 0.00098984, 0.0009891 , 0.00107492,       0.1208073 , 0.25119675, 0.29888449, 0.31740958, 0.32485984,       0.32789445, 0.32913595, 0.32964461, 0.32985312, 0.32993861,       0.32997366, 0.32998805, 0.32999396, 0.3299964 "
66,32.pickle,"2.47, 0.24, 15, 0.00098908, 0.00098821, 0.0009873 , 0.0009864 , 0.0009855 ,       0.00098458, 0.00098377, 0.00335865, 0.15258478, 0.26018846,       0.30153732, 0.31817899, 0.32505498, 0.32792447, 0.32912637,       0.32963055, 0.32984218, 0.32993108, 0.32996845"
67,0.pickle,"2.42, 0.2, 16, 0.00098955, 0.00098872, 0.00098786, 0.00098699, 0.00098612,       0.00098525, 0.00143918, 0.12370752, 0.24978772, 0.29766675,       0.31667573, 0.32446245, 0.32769041, 0.32903433, 0.32959476,       0.32982863, 0.32992628, 0.32996707, 0.32998413"
68,432.pickle,"2.25, 0.25, 16, 0.00098931, 0.00098847, 0.0009876 , 0.00098673, 0.00098585,       0.00098999, 0.04410659, 0.21460232, 0.28421904, 0.31126921,       0.32224129, 0.32677085, 0.32865276, 0.32943643, 0.32976307,       0.32989928, 0.3299561 , 0.32997983, 0.32998975"
69,33.pickle,"1.48, 0.26, 15, 0.00098723, 0.00098633, 0.00098539, 0.00129664, 0.09761858,       0.23789831, 0.29275093, 0.31457925, 0.32355808, 0.32729993,       0.32886649, 0.32952336, 0.32979894, 0.32991458, 0.32996311,       0.32998348, 0.32999204, 0.32999565, 0.32999717"
70,828.pickle,"2.1, 0.27, 13, 0.00098708, 0.00098608, 0.00098504, 0.00098401, 0.00098298,       0.00098193, 0.00098147, 0.00549663, 0.16036454, 0.26206574,       0.3019351 , 0.31821136, 0.32501505, 0.32788529, 0.32910035,       0.32961546, 0.32983403, 0.32992683, 0.32996628"
71,50.pickle,"2.4, 0.27, 15, 0.00098897, 0.0009881 , 0.00098719, 0.00098628, 0.00098537,       0.00098445, 0.00098536, 0.01783357, 0.19250666, 0.2754154 ,       0.30760288, 0.32067696, 0.32609722, 0.32836151, 0.32931006,       0.32970788, 0.32987485, 0.32994497, 0.32997444"
72,234.pickle,"2.01, 0.11, 10, 0.00098384, 0.00098258, 0.0009813 , 0.00098004, 0.00097878,       0.00097752, 0.00097624, 0.00097494, 0.00097375, 0.00133338,       0.06651065, 0.21664778, 0.28247474, 0.30965315, 0.32120183,       0.32617781, 0.32833405, 0.3292708 , 0.32967835"
73,262.pickle,"2.5, 0.18, 20, 0.0009914 , 0.0009907 , 0.00098998, 0.00098926, 0.00098986,       0.06603967, 0.23010091, 0.29102858, 0.31431426, 0.32361292,       0.32738813, 0.32892975, 0.3295605 , 0.32981875, 0.32992451,       0.32996784, 0.32998559, 0.32999287, 0.32999587"
74,230.pickle,"2.4, 0.23, 14, 0.00098836, 0.00098744, 0.00098648, 0.00098553, 0.00098457,       0.0009836 , 0.00098262, 0.00103946, 0.06490234, 0.2224189 ,       0.28650478, 0.31194525, 0.32242329, 0.3268059 , 0.32864958,       0.3294269 , 0.32975498, 0.32989355, 0.32995212"
75,274.pickle,"2.21, 0.11, 14, 0.00098803, 0.00098709, 0.00098612, 0.00098516, 0.00098419,       0.0009832 , 0.00098749, 0.02692548, 0.19953486, 0.27773145,       0.30841103, 0.32096386, 0.32619785, 0.32839566, 0.32932098,       0.32971102, 0.32987553, 0.32994497, 0.3299743 "
76,830.pickle,"2.11, 0.14, 10, 0.00098415, 0.00098291, 0.00098164, 0.00098039, 0.00097915,       0.00097791, 0.00097664, 0.00097536, 0.00097405, 0.00097687,       0.00518284, 0.13833975, 0.25019429, 0.2961834 , 0.31543863,       0.32368459, 0.32725035, 0.32879852, 0.32947204"
77,644.pickle,"2.2, 0.22, 11, 0.00098552, 0.00098438, 0.00098321, 0.00098205, 0.0009809 ,       0.00097975, 0.00097857, 0.00097737, 0.00097632, 0.00157899,       0.08867561, 0.22952583, 0.28816017, 0.31221047, 0.32236591,       0.32670964, 0.32857709, 0.32938175, 0.32972892"
78,86.pickle,"1.0, 0.12, 8, 0.00097518, 0.00097357, 0.00097189, 0.00097024, 0.00099526,       0.00700879, 0.13020332, 0.24335606, 0.2922921 , 0.31336711,       0.32261569, 0.32671123, 0.32853211, 0.32934335, 0.32970526,       0.3298669 , 0.32993918, 0.32997153, 0.32998603"
79,428.pickle,"2.08, 0.18, 11, 0.0009852 , 0.00098405, 0.00098286, 0.00098169, 0.00098053,       0.00097936, 0.00097816, 0.00097695, 0.00100735, 0.02744949,       0.19256678, 0.27337981, 0.30608175, 0.319769  , 0.32559985,       0.32810141, 0.32917777, 0.32964157, 0.32984164"
80,39.pickle,"1.97, 0.16, 11, 0.00098474, 0.00098359, 0.0009824 , 0.00098122, 0.00098003,       0.00097884, 0.00097762, 0.00097835, 0.00334592, 0.12124542,       0.24348385, 0.29364917, 0.31445213, 0.32329781, 0.32709991,       0.32874126, 0.32945123, 0.32975872, 0.32989202"
81,814.pickle,"2.67, 0.18, 18, 0.00099083, 0.00099008, 0.0009893 , 0.00098853, 0.00098774,       0.00098697, 0.00548241, 0.17905069, 0.27169818, 0.30654495,       0.32040079, 0.32604618, 0.32836679, 0.32932369, 0.32971872,       0.32988188, 0.3299493 , 0.32997718, 0.32998872"
82,472.pickle,"2.48, 0.12, 6, 0.00097933, 0.0009773 , 0.00097554, 0.00097388, 0.00097228,       0.00097071, 0.00096913, 0.00096756, 0.00096596, 0.00096433,       0.00096268, 0.00096098, 0.00095926, 0.0009575 , 0.00095569,       0.00095386, 0.00095199, 0.00095007, 0.00094812"
83,456.pickle,"2.33, 0.19, 10, 0.00098483, 0.0009836 , 0.00098236, 0.00098114, 0.00097993,       0.00097872, 0.0009775 , 0.00097625, 0.00097498, 0.00097368,       0.00097294, 0.00180581, 0.08271982, 0.22454427, 0.28556848,       0.31090941, 0.32172087, 0.32639285, 0.3284225 "
84,416.pickle,"2.56, 0.1, 18, 0.0009907 , 0.00098995, 0.00098917, 0.00098839, 0.0009876 ,       0.00098862, 0.05254958, 0.22198486, 0.28758503, 0.3128084 ,       0.32294661, 0.32709272, 0.32879882, 0.32950239, 0.32979277,       0.32991266, 0.32996219, 0.32998265, 0.32999113"
85,429.pickle,"1.17, 0.22, 11, 0.00098222, 0.00098102, 0.00097975, 0.00098867, 0.01030794,       0.16486915, 0.26205419, 0.30138116, 0.31777336, 0.32474662,       0.3277372 , 0.32902369, 0.3295778 , 0.32981662, 0.3299196 ,       0.32996404, 0.32998322, 0.32999151, 0.3299951 "
86,672.pickle,"2.83, 0.22, 19, 0.00099137, 0.00099065, 0.00098992, 0.00098918, 0.00098843,       0.00098769, 0.00612043, 0.18300071, 0.27343733, 0.30731522,       0.32074611, 0.3262011 , 0.32843607, 0.32935456, 0.32973245,       0.32988801, 0.32995206, 0.32997846, 0.32998935"
87,872.pickle,"2.68, 0.26, 19, 0.00099122, 0.0009905 , 0.00098976, 0.00098901, 0.00098826,       0.00099383, 0.07849999, 0.2343816 , 0.29241215, 0.31478771,       0.32377584, 0.32744273, 0.32894694, 0.32956515, 0.32981943,       0.32992405, 0.3299671 , 0.32998484, 0.32999216"
